title,provide_salary,company_type,company_size,company_ind,attribute
大数据行业经理,,上市公司,10000人以上,通信/电信/网络设备,"['无锡', '3-4年经验', '本科', '招1人']"
Consultant/Sr. Consultant - 大数据开发 - Cloud COE - Consulting - GDC CQ,,合资,500-1000人,专业服务(咨询、人力资源、财会),"['重庆', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,1.5-2.2万/月,外资（非欧美）,500-1000人,多元化业务集团公司,"['杭州-西湖区', '3-4年经验', '本科', '招1人']"
大数据开发工程师,1-2.5万/月,国企,1000-5000人,石油/化工/矿产/地质,"['成都', '1年经验', '本科', '招5人']"
大数据开发工程师,0.8-1.2万/月,民营公司,50-150人,计算机软件,"['福州', '2年经验', '本科', '招1人']"
大数据开发工程师,2-2.5万/月,民营公司,10000人以上,家具/家电/玩具/礼品,"['佛山-顺德区', '8-9年经验', '本科', '招若干人']"
Java开发工程师(大数据平台方向),,民营公司,1000-5000人,计算机软件,"['上海-浦东新区', '3-4年经验', '本科', '招1人']"
大数据开发工程师（平台方向）,2-4万/月,上市公司,1000-5000人,互联网/电子商务,"['上海-浦东新区', '5-7年经验', '本科', '招若干人']"
大数据开发工程师,,事业单位,1000-5000人,计算机服务(系统、数据服务、维修),"['上海-嘉定区', '5-7年经验', '硕士', '招2人']"
大数据开发高级工程师,,国企,1000-5000人,通信/电信/网络设备,"['武汉-江岸区', '5-7年经验', '本科', '招1人']"
大数据架构师,1.5-2万/月,外资（非欧美）,500-1000人,计算机软件,"['沈阳', '10年以上经验', '本科', '招1人']"
大数据开发工程师,2.5-3万/月,上市公司,1000-5000人,网络游戏,"['广州', '5-7年经验', '本科', '招1人']"
工业大数据算法专家,3-5万/月,民营公司,10000人以上,通信/电信运营、增值服务,"['北京-海淀区', '5-7年经验', '硕士', '招1人']"
大数据架构师,1.5-2.5万/月,外资（非欧美）,150-500人,计算机软件,"['大连-沙河口区', '5-7年经验', '本科', '招2人']"
软件工程师（大数据）,1.5-2.5万/月,国企,1000-5000人,计算机软件,"['异地招聘', '2年经验', '本科', '招4人']"
大数据开发工程师,1.2-1.7万/月,国企,1000-5000人,计算机软件,"['北京', '2年经验', '本科', '招若干人']"
大数据开发工程师(J11768),1-1.5万/月,外资（欧美）,1000-5000人,服装/纺织/皮革,"['广州', '3-4年经验', '大专', '招1人']"
大数据开发工程师,1.5-2万/月,民营公司,1000-5000人,网络游戏,"['厦门', '1年经验', '本科', '招2人']"
中级大数据开发工程师（圆通科技）,1.5-2.5万/月,上市公司,10000人以上,交通/运输/物流,"['上海-青浦区', '2年经验', '本科', '招1人']"
大数据开发工程师,0.9-2万/月,民营公司,1000-5000人,网络游戏,"['广州-黄埔区', '无需经验', '招10人']"
122882高级软件架构师（大数据存储）,36-72万/年,民营公司,10000人以上,电子技术/半导体/集成电路,"['深圳-南山区', '3-4年经验', '本科', '招若干人']"
大数据架构师(J16783),2-4万/月,民营公司,5000-10000人,制药/生物工程,"['武汉-洪山区', '5-7年经验', '硕士', '招1人']"
大数据开发-SPG,15-20万/年,国企,1000-5000人,保险,"['成都-高新区', '3-4年经验', '本科', '招若干人']"
大数据工程师,1.5-2万/月,民营公司,10000人以上,采掘业/冶炼,"['苏州', '5-7年经验', '本科', '招2人']"
大数据开发工程师,1-2万/月,民营公司,10000人以上,汽车,"['西安-高新技术产业开发区', '2年经验', '本科', '招若干人']"
大数据开发工程师,1.4-1.8万/月,外资（欧美）,10000人以上,电子技术/半导体/集成电路,"['北京-大兴区', '5-7年经验', '本科', '招1人']"
大数据主任工程师,,合资,10000人以上,家具/家电/玩具/礼品,"['惠州-仲恺区', '5-7年经验', '本科', '招1人']"
大数据架构师,30-40万/年,国企,1000-5000人,计算机软件,"['青岛-崂山区', '5-7年经验', '本科', '招2人']"
科技管理部 大数据平台架构岗,1.5-2万/月,民营公司,1000-5000人,银行,"['北京', '2年经验', '本科', '招2人']"
大数据研发工程师,1-1.5万/月,事业单位,150-500人,电子技术/半导体/集成电路,"['北京-海淀区', '3-4年经验', '本科', '招1人']"
高级大数据工程师,1.7-2.6万/月,外资（非欧美）,10000人以上,快速消费品(食品、饮料、化妆品),"['上海', '3-4年经验', '本科', '招1人']"
大数据开发工程师,1-1.5万/月,合资,50-150人,金融/投资/证券,"['惠州-惠城区', '3-4年经验', '本科', '招若干人']"
南京-CM-30-大数据开发工程,15-20万/年,国企,1000-5000人,汽车,"['南京-江宁区', '3-4年经验', '本科', '招若干人']"
大数据开发工程师,30-40万/年,外资（非欧美）,10000人以上,电子技术/半导体/集成电路,"['上海-浦东新区', '8-9年经验', '本科', '招3人']"
大数据分析主管,0.9-1.2万/月,外资（非欧美）,1000-5000人,交通/运输/物流,"['上海-闵行区', '3-4年经验', '本科', '招1人']"
大数据平台架构师,3-4万/月,外资（欧美）,500-1000人,餐饮业,"['上海-徐汇区', '5-7年经验', '本科', '招1人']"
大数据开发工程师,1-2万/月,事业单位,150-500人,互联网/电子商务,"['北京', '无需经验', '硕士', '招2人']"
